植物编号,经度（X),纬度（Y）,中文名,拉丁学名,科属,生活型,原产地,地理分布,类群,形态特征,生态习性,入侵危害特点,分布区域,出现次数
1,110.2748,29.084,小蓬草,Conyza bonariensis,菊科白酒草属,一年生草本,北美洲,世界分布,被子植物,部叶倒披针形，基部渐狭成柄，边缘具疏锯齿或全缘，两性花淡黄色,喜光照，耐干旱贫瘠，适应性强，繁殖速度快,该植物可产生大量瘦果，蔓延极快，对秋收作物、果园和茶园危害严重，通过分泌化感物质抑制邻近其他植物的生长。该植物是棉铃虫和棉蝽象的中间宿主，其叶汁和捣碎的叶对皮肤有刺激作用,热水坑社区服务中心附属绿地，太极溪特大桥防护绿地，市公安局交通警察大队附属绿地，沙堤大道防护绿地，张家界金海学校附属绿地、大堰附属绿地，人民医院附属绿地，西站附属绿地，武陵山大道防护绿地，大溶溪防护绿地。,16
1,110.2728,29.0844,小蓬草,Conyza bonariensis,菊科白酒草属,一年生草本,北美洲,世界分布,被子植物,部叶倒披针形，基部渐狭成柄，边缘具疏锯齿或全缘，两性花淡黄色,喜光照，耐干旱贫瘠，适应性强，繁殖速度快,该植物可产生大量瘦果，蔓延极快，对秋收作物、果园和茶园危害严重，通过分泌化感物质抑制邻近其他植物的生长。该植物是棉铃虫和棉蝽象的中间宿主，其叶汁和捣碎的叶对皮肤有刺激作用,热水坑社区服务中心附属绿地，太极溪特大桥防护绿地，市公安局交通警察大队附属绿地，沙堤大道防护绿地，张家界金海学校附属绿地、大堰附属绿地，人民医院附属绿地，西站附属绿地，武陵山大道防护绿地，大溶溪防护绿地。,16
1,110.273,29.0906,小蓬草,Conyza bonariensis,菊科白酒草属,一年生草本,北美洲,世界分布,被子植物,部叶倒披针形，基部渐狭成柄，边缘具疏锯齿或全缘，两性花淡黄色,喜光照，耐干旱贫瘠，适应性强，繁殖速度快,该植物可产生大量瘦果，蔓延极快，对秋收作物、果园和茶园危害严重，通过分泌化感物质抑制邻近其他植物的生长。该植物是棉铃虫和棉蝽象的中间宿主，其叶汁和捣碎的叶对皮肤有刺激作用,热水坑社区服务中心附属绿地，太极溪特大桥防护绿地，市公安局交通警察大队附属绿地，沙堤大道防护绿地，张家界金海学校附属绿地、大堰附属绿地，人民医院附属绿地，西站附属绿地，武陵山大道防护绿地，大溶溪防护绿地。,16
1,110.2728,29.084,小蓬草,Conyza bonariensis,菊科白酒草属,一年生草本,北美洲,世界分布,被子植物,部叶倒披针形，基部渐狭成柄，边缘具疏锯齿或全缘，两性花淡黄色,喜光照，耐干旱贫瘠，适应性强，繁殖速度快,该植物可产生大量瘦果，蔓延极快，对秋收作物、果园和茶园危害严重，通过分泌化感物质抑制邻近其他植物的生长。该植物是棉铃虫和棉蝽象的中间宿主，其叶汁和捣碎的叶对皮肤有刺激作用,热水坑社区服务中心附属绿地，太极溪特大桥防护绿地，市公安局交通警察大队附属绿地，沙堤大道防护绿地，张家界金海学校附属绿地、大堰附属绿地，人民医院附属绿地，西站附属绿地，武陵山大道防护绿地，大溶溪防护绿地。,16
1,110.275,29.0958,小蓬草,Conyza bonariensis,菊科白酒草属,一年生草本,北美洲,世界分布,被子植物,部叶倒披针形，基部渐狭成柄，边缘具疏锯齿或全缘，两性花淡黄色,喜光照，耐干旱贫瘠，适应性强，繁殖速度快,该植物可产生大量瘦果，蔓延极快，对秋收作物、果园和茶园危害严重，通过分泌化感物质抑制邻近其他植物的生长。该植物是棉铃虫和棉蝽象的中间宿主，其叶汁和捣碎的叶对皮肤有刺激作用,热水坑社区服务中心附属绿地，太极溪特大桥防护绿地，市公安局交通警察大队附属绿地，沙堤大道防护绿地，张家界金海学校附属绿地、大堰附属绿地，人民医院附属绿地，西站附属绿地，武陵山大道防护绿地，大溶溪防护绿地。,16
1,110.2753,29.1018,小蓬草,Conyza bonariensis,菊科白酒草属,一年生草本,北美洲,世界分布,被子植物,部叶倒披针形，基部渐狭成柄，边缘具疏锯齿或全缘，两性花淡黄色,喜光照，耐干旱贫瘠，适应性强，繁殖速度快,该植物可产生大量瘦果，蔓延极快，对秋收作物、果园和茶园危害严重，通过分泌化感物质抑制邻近其他植物的生长。该植物是棉铃虫和棉蝽象的中间宿主，其叶汁和捣碎的叶对皮肤有刺激作用,热水坑社区服务中心附属绿地，太极溪特大桥防护绿地，市公安局交通警察大队附属绿地，沙堤大道防护绿地，张家界金海学校附属绿地、大堰附属绿地，人民医院附属绿地，西站附属绿地，武陵山大道防护绿地，大溶溪防护绿地。,16
1,110.2728,29.1113,小蓬草,Conyza bonariensis,菊科白酒草属,一年生草本,北美洲,世界分布,被子植物,部叶倒披针形，基部渐狭成柄，边缘具疏锯齿或全缘，两性花淡黄色,喜光照，耐干旱贫瘠，适应性强，繁殖速度快,该植物可产生大量瘦果，蔓延极快，对秋收作物、果园和茶园危害严重，通过分泌化感物质抑制邻近其他植物的生长。该植物是棉铃虫和棉蝽象的中间宿主，其叶汁和捣碎的叶对皮肤有刺激作用,热水坑社区服务中心附属绿地，太极溪特大桥防护绿地，市公安局交通警察大队附属绿地，沙堤大道防护绿地，张家界金海学校附属绿地、大堰附属绿地，人民医院附属绿地，西站附属绿地，武陵山大道防护绿地，大溶溪防护绿地。,16
1,110.2735,29.1022,小蓬草,Conyza bonariensis,菊科白酒草属,一年生草本,北美洲,世界分布,被子植物,部叶倒披针形，基部渐狭成柄，边缘具疏锯齿或全缘，两性花淡黄色,喜光照，耐干旱贫瘠，适应性强，繁殖速度快,该植物可产生大量瘦果，蔓延极快，对秋收作物、果园和茶园危害严重，通过分泌化感物质抑制邻近其他植物的生长。该植物是棉铃虫和棉蝽象的中间宿主，其叶汁和捣碎的叶对皮肤有刺激作用,热水坑社区服务中心附属绿地，太极溪特大桥防护绿地，市公安局交通警察大队附属绿地，沙堤大道防护绿地，张家界金海学校附属绿地、大堰附属绿地，人民医院附属绿地，西站附属绿地，武陵山大道防护绿地，大溶溪防护绿地。,16
1,110.2706,29.0843,小蓬草,Conyza bonariensis,菊科白酒草属,一年生草本,北美洲,世界分布,被子植物,部叶倒披针形，基部渐狭成柄，边缘具疏锯齿或全缘，两性花淡黄色,喜光照，耐干旱贫瘠，适应性强，繁殖速度快,该植物可产生大量瘦果，蔓延极快，对秋收作物、果园和茶园危害严重，通过分泌化感物质抑制邻近其他植物的生长。该植物是棉铃虫和棉蝽象的中间宿主，其叶汁和捣碎的叶对皮肤有刺激作用,热水坑社区服务中心附属绿地，太极溪特大桥防护绿地，市公安局交通警察大队附属绿地，沙堤大道防护绿地，张家界金海学校附属绿地、大堰附属绿地，人民医院附属绿地，西站附属绿地，武陵山大道防护绿地，大溶溪防护绿地。,16
1,110.25,29.0759,小蓬草,Conyza bonariensis,菊科白酒草属,一年生草本,北美洲,世界分布,被子植物,部叶倒披针形，基部渐狭成柄，边缘具疏锯齿或全缘，两性花淡黄色,喜光照，耐干旱贫瘠，适应性强，繁殖速度快,该植物可产生大量瘦果，蔓延极快，对秋收作物、果园和茶园危害严重，通过分泌化感物质抑制邻近其他植物的生长。该植物是棉铃虫和棉蝽象的中间宿主，其叶汁和捣碎的叶对皮肤有刺激作用,热水坑社区服务中心附属绿地，太极溪特大桥防护绿地，市公安局交通警察大队附属绿地，沙堤大道防护绿地，张家界金海学校附属绿地、大堰附属绿地，人民医院附属绿地，西站附属绿地，武陵山大道防护绿地，大溶溪防护绿地。,16
